time	recording	whole_blood_radioactivity	plasma_radioactivity	blood_plasma_ratio	metabolite_parent_fraction	AIF
16.2	manual	1347.70409926968	1971.5382648079137	0.6835799859055673	0.944199241251921	1861.5249337307612
28.2	manual	27653.700823805502	38485.09888648329	0.7185560547830111	0.9462667832057873	36417.17072466917
43.2	manual	55781.9400075881	76697.37295062146	0.7272992263177136	0.9434187900018924	72357.74278539917
58.8	manual	71962.5992050523	97975.94078450766	0.7344925563239019	0.9409988857717427	92195.25111065997
76.8	manual	72895.00329697439	100578.13383541245	0.7247599504705549	0.9399268266804167	94536.08616935747
90	manual	80072.8222804137	114594.00385224086	0.698752287106232	0.9398501166296951	107701.1878855923
103.8	manual	97677.9807123261	137445.60887940775	0.710666433862045	0.9400294361514122	129202.91821639723
121.2	manual	89710.61174533151	120707.67972074606	0.7432055023580487	0.9402479190561727	113495.14467153045
136.2	manual	68299.0418105521	93944.95403435842	0.7270112856255495	0.9402262968080746	88329.51623552959
150	manual	53340.4104631755	74305.86129030539	0.717849299327545	0.9399555964930184	69844.2101720565
181.2	manual	50475.623520763496	51868.419500393014	0.973147514556156	0.938418665692327	48674.29301912869
300	manual	14246.2554223643	20046.309052960733	0.710667254741352	0.9241925463417693	18526.64940840984
607.8	manual	6060.24767412927	8484.473051569094	0.7142750807616156	0.8647900803886633	7337.288132321884
925.2	manual	6405.44685906873	9040.227319309171	0.7085493132885304	0.8045071690856381	7272.9276885480685
1801.2	manual	4882.174934308429	7233.457564107373	0.6749434680496259	0.707679728098356	5118.971282178503
2719.8	manual	3915.38354706992	5295.422440099019	0.7393902169959272	0.6776537193644995	3588.4627121393337
3592.8	manual	3097.6985037103	4445.760475046329	0.6967758432100463	0.6749892883314279	3000.840699143512
5400	manual	2659.29995960977	3518.5086883147383	0.7558031527509166	0.6880467580101064	2420.898496025348
7213.2	manual	2214.11237189764	2921.8591164752224	0.757775198473167	0.7016773386455004	2050.2023287454276
