time	recording	whole_blood_radioactivity	plasma_radioactivity	blood_plasma_ratio	metabolite_parent_fraction	AIF
13.8	manual	1.05021	1.05021	0.7670501379779953	0.9262574039595671	0.972764788212377
31.2	manual	1.05021	1.05021	0.7670501379779953	0.9337112820389459	0.9805929255101214
45	manual	13663.1575254002	17812.6003098277	0.7670501379779953	0.9295645432573861	16557.961671231362
61.2	manual	46459.5872425395	59044.14499431372	0.786861885238812	0.9252030645691691	54627.82389360542
75	manual	65039.898305067494	84228.58151737398	0.7721832320261933	0.9229874313972655	77741.9221049562
91.2	manual	75327.83523203319	94877.71147932867	0.7939465872176424	0.9217880501931278	87457.14067131652
105	manual	87113.912516921	110845.15033929345	0.785906395095032	0.9214385338220635	102136.99280992476
121.2	manual	93723.4003342823	121531.4337735641	0.7711864940958943	0.9213293645373423	111970.47864990991
136.8	manual	104634.90275537499	130965.9899137262	0.79894713753016	0.9212127174190303	120647.53545789701
150	manual	93610.02478989541	111961.15893556054	0.8360937460800391	0.9209623437173021	103112.01133859919
178.8	manual	49494.0428320006	63783.447029942894	0.7759700225791473	0.919730727604216	58663.596145954354
298.8	manual	21308.856962405	26274.08019825093	0.8110219958841239	0.9057335908307367	23797.317003736567
603	manual	8922.13187507597	11149.361249012754	0.8002370428051208	0.8399203684966285	9364.575608772822
904.8	manual	6833.20662102323	7867.630788390354	0.8685215161731354	0.7623341890223547	5997.76393659487
1801.8	manual	5956.0782539765605	7504.474747776325	0.7936702373129346	0.5619779310159251	4217.349192116595
2703	manual	5171.17604063239	6289.09976433845	0.8222442375544574	0.4306706508064936	2708.5306884946053
3607.8	manual	4298.8652830544	5615.100453065452	0.7655900938882624	0.3451619275712162	1938.118895886081
5401.2	manual	4123.17817955023	4398.391112184189	0.9374287266378878	0.24384930202800487	1072.5446027522946
7204.8	manual	3030.9572900059898	3981.9585061317302	0.7611724947255692	0.18549074368010515	738.6164446056952
