frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	7.73162	0.00638	0.57785	1.55825	0.18005	0.31422	1.69336	2.26407	10.59864	8.58987	2.37349	1.16137	0.84634	2.08621	0.19547	5.0336	0.19354	7.24638	0.75001	3.54899	0.97722	3.51564	6.78773	15.72156	9.62397	0.03194	1.09538	0.73485	6.8885	5.56078	3.40951	9.09243	2.07242	24.94025	0.06095	2.43295	5.16785	3.44109	0.08383	2.56414	0.42491	3.09377	1.03028	1.83276	8.09269	2.70091	1.83917	0.37732	1.38124	1.66503	9.9871	3.76934	4.83801	2.77009	0.94597	0.25448	3.72543	4.12213	0.29925	7.04036	1.70464	1.61827	1.45462	3.26717	2.6649	6.49737	1.24552	0.08672	11.72153	0.86191	2.83256	0.29503	0.44266	4.41398	0.93811	0.41687	4.0499	2.78208	1.10662	0.19761	1.06228	3.06392	1.33386	2.15052	4.75261	0.32448	6.48739	1.94847	2.39047	23.84009	2.83672	2.30718	2.50144	2.32432	6.28608	0.63881	6.02804	5.24087	1.3797	2.90861	1.13836	0.36975	15.01254	1.09272	2.67802	7.66835	0.09629	2.76552	0.52972	16.06604	1.44525	1.51389	9.07231	1.71501	1.2865	1.33841	0.89015	1.64367	7.78534	7.45467	0.73341	0.56755	0.24658	0.16173	1.72525	2.14649	3.37578	9.07947	0.25692	13.03522	1.06398	3.51925	1.83863	8.57875	0.97527	0.00196	12.08239	0.13532	3.44921	4.03284	16.93658	0.58482	1.82929	1.51787	1.5867	2.36122	0.59456	0.44732	0.81489	4.2767	1.16107	2.69161	1.25728	0.08998	3.01522	3.15906	5.75679	14.4237	1.27126	0.98215	5.60948	1.49213	3.28456	3.06925	3.43298	4.1258	2.10009	2.26104	2.00947	0.1145	3.71928	1.11013	8.41631	2.92135	3.73884
30	60	354.48727	433.19012	537.91296	630.4135	612.34513	504.92159	971.67919	449.09053	467.99932	248.34275	604.98041	785.64035	809.74086	1012.63988	727.48903	683.37111	335.66681	365.90606	417.86069	436.74725	676.37743	681.22971	460.86396	760.67256	506.87667	636.98404	571.30408	934.54653	557.78284	441.48004	190.66144	1774.83229	345.13649	540.40735	516.09008	484.38355	894.41515	821.46065	922.94854	783.90773	843.63392	480.84626	628.83454	723.68303	609.98318	707.69097	589.90697	802.4623	855.13373	1062.06909	614.16811	598.29796	880.18571	932.76446	760.17704	813.09573	760.14619	713.77235	834.8406	684.01156	816.04808	1237.66192	815.56376	893.98344	614.24939	762.12673	900.49392	934.448	688.36481	1065.1855	1023.66489	692.95404	896.44011	819.54096	912.02361	493.33491	678.55139	693.29482	590.17616	824.2744	571.84206	708.27453	759.15457	719.11965	633.17432	964.35083	836.05597	885.89545	710.54822	844.02294	842.68673	779.86514	916.58481	763.27758	919.17876	913.70764	797.6509	845.42064	744.12247	855.57461	775.53446	830.85049	406.56923	1058.3417	968.39713	423.40658	454.84782	501.4332	716.82287	267.27861	443.44716	538.02224	467.09947	548.12856	556.45316	560.9548	771.51725	783.8552	482.16683	439.18613	572.65389	591.37679	736.71908	567.15861	532.97484	627.95449	452.63968	467.1182	518.85894	795.38077	600.35604	628.34213	494.03385	562.16375	609.27767	950.63462	244.49572	817.1963	669.6004	346.88085	442.27063	517.88147	806.01259	369.57895	450.55304	524.98934	508.17996	440.49871	512.53061	568.62521	632.95587	566.19206	429.35142	852.40403	534.84385	490.33558	651.83909	643.14339	564.33536	679.15181	481.17501	506.39849	647.11088	496.43091	619.92268	657.93365	567.6218	634.37744	493.30674	744.8676	633.97739	725.30063	699.76744	327.15688	337.86903
60	90	4707.13937	5555.73817	5558.93831	6986.46738	7533.9294	6392.12808	7884.01621	4936.51401	6601.77695	4423.99046	5972.9997	6346.89321	6091.39286	8399.7998	6938.06232	6561.3656	5084.5782	4488.30603	5145.68866	5025.98064	6879.65049	7485.06749	6830.63951	7705.97957	6014.57932	6396.2344	5948.59678	8537.43491	6023.8461	5613.69245	1834.45837	10178.9337	4298.81044	5239.61889	5084.6803	3509.91988	4963.79006	7017.81468	7152.85499	7978.50826	9329.04729	5163.75446	7196.81909	6644.44855	6175.55811	7414.52572	6662.56627	6700.52132	8266.58708	7294.80125	5925.53741	5770.17669	7648.53304	7924.01318	5958.08845	7625.83149	9185.69224	6935.08999	7603.34116	6823.56988	7707.36838	8108.88168	7209.94257	7594.8536	6573.41974	6575.295	6955.47532	7065.28559	4705.82475	7984.8831	7607.68558	7611.44803	6657.96984	7677.68919	9447.78719	4765.18204	6800.45426	6394.59826	6244.65968	7886.93523	6507.091	7280.02232	7972.14221	6455.11895	6538.05434	6162.27998	7366.23589	8196.47905	6838.51433	7926.50278	8735.89705	6866.19978	8048.6334	6898.95456	8341.72064	7129.20515	7085.66619	7581.05671	6645.64538	7251.68355	7233.25449	7400.98881	3611.97453	9291.78016	7333.6028	4720.29553	4383.9747	4964.81348	7728.56304	3410.09037	5730.18005	5670.25427	5153.71273	4877.1829	6577.98391	5070.86066	7238.39318	5460.78181	4817.68776	5118.48514	5621.57357	6062.68643	7193.27432	6036.80924	6350.01299	6026.37205	4332.67965	4839.15365	5676.56797	5235.17087	5384.82519	5533.52347	5362.36516	5140.09833	5058.69589	7316.88972	3673.46297	6126.42213	5920.00865	4947.49185	3881.52539	5148.79551	8190.68642	3804.72687	5141.40024	5214.15854	5055.15866	5049.42282	6036.97518	5160.67165	6598.53093	4920.69699	4941.27251	5558.50877	5219.69129	5870.19142	7085.01836	6411.25825	6394.91056	5855.3109	4714.93392	5251.51527	5768.27413	4203.98197	5790.25495	5591.26472	5011.39846	5452.69481	4830.95645	7005.42674	3228.43649	6998.51898	5702.40318	3525.5229	3599.02289
90	120	7797.62309	9343.28668	9627.43806	11663.86542	12711.73094	11635.63138	12712.8549	8373.71441	11522.89113	8582.74781	9635.85898	10073.33691	8177.00246	13978.86538	11461.62757	10342.61907	9327.14691	7699.50179	8165.0844	9069.84704	12332.97783	12474.84023	12925.88489	13535.91018	9014.58611	10171.83617	8173.76324	11089.98754	10036.53066	9732.03937	5057.99023	13254.70621	5941.88056	8746.929	8763.33227	6703.01775	7148.15364	12162.26136	11887.34818	12843.58801	14097.29129	8053.92645	11516.51001	11705.11724	10901.46545	11990.46753	10745.20548	11886.04862	13429.23794	12658.22476	10333.46706	9637.84136	12866.28482	13444.85663	10095.37366	12064.46798	14798.80877	12098.34572	13769.90522	11969.31001	13350.05838	12567.55415	12463.42139	12836.89646	11262.88038	11146.55439	12006.25576	11900.38263	8445.91119	14240.66506	12443.32771	11448.53504	11545.67633	12680.61331	15443.17305	8947.02328	11545.99454	11165.99603	10804.56989	11963.59581	11008.20022	12117.42105	13270.97388	11753.26783	11346.64182	10121.17887	12674.89725	13579.51887	10191.73005	13177.37963	15162.30297	11886.13448	13693.80376	12016.47198	13397.4141	12772.54808	12343.9896	12562.68665	11836.04257	11680.01181	11830.00129	12705.42242	7164.99642	14653.46678	12375.05674	7985.20292	6803.17831	7823.71225	13201.35672	5518.26316	9269.65693	9622.22892	9107.78244	7740.83149	11073.57327	9372.58951	12289.98388	10120.43232	8744.10027	8356.63918	9575.20061	9848.8431	12849.82792	9901.94609	11035.57029	10673.37755	7613.45772	8764.09504	9416.462	7849.54776	9400.11435	9485.18731	8901.67149	8847.39168	9042.8381	13212.6599	7206.47005	11555.37968	9969.19299	8032.20305	6977.82237	8279.41295	13889.87716	6826.94007	8832.98643	9290.73663	8796.64765	8398.38518	10700.68499	9121.75957	11266.09204	8690.08251	8807.53031	9290.77413	9200.31073	9810.40217	11774.37408	10987.74497	11233.31003	10490.42436	8202.48897	9119.59282	9470.76243	7491.84365	10148.53248	9339.77241	9029.84728	9425.72463	8183.42168	13023.50461	6322.66306	10594.85803	9964.31679	5717.47357	5972.83999
120	150	10867.18447	14444.58914	13440.53014	16789.967	18950.63773	17070.73677	17526.99984	12101.30891	16517.37439	11413.27635	13997.98668	13631.65932	12293.43596	18465.79366	16837.8099	13753.4266	13129.38364	10229.48599	12613.78127	12664.70781	17075.35322	17764.59441	16697.52853	19985.29894	14099.90918	14034.98475	12303.60467	18691.49155	13783.73847	12558.09614	5456.34473	14011.16935	8069.59247	11303.17658	9192.93412	7455.55279	8989.91938	16292.34314	15893.02864	17832.65931	18963.89033	11747.08394	15561.72035	15807.48487	15401.05122	15844.33376	14705.17518	16393.78771	18253.78177	17362.56483	14415.91161	13803.33994	18297.76122	18276.02256	13657.40512	16820.17199	20415.04916	16244.44221	18139.85754	16234.71749	18496.11961	17220.77759	17143.18554	17621.16872	16108.31833	15397.6859	16573.0965	15362.18596	11590.45433	18542.80023	17625.06672	16874.43403	15214.28437	17822.50027	20582.04476	11550.22578	15565.2733	15781.41624	15721.21322	17384.24294	15533.96279	17131.63372	18059.66076	15495.39969	15864.9098	13072.76474	17795.09661	18801.86769	14535.91373	17771.03668	21158.56621	16503.64781	18827.16028	16649.3597	19265.6801	16681.56592	17093.61763	17992.85793	16001.13882	15921.08467	17196.242	17081.79348	9995.74376	19502.52273	17616.71204	11277.24064	9525.71771	11479.895	17626.45154	8914.69836	13076.323	12942.18981	12844.50798	10186.82498	15357.27791	13410.07781	16484.71041	13485.97317	12389.05622	12379.82818	13683.73952	13912.70625	17330.15153	14204.49511	15054.06436	14502.65622	10558.36009	12065.35902	13117.69795	10273.78174	13132.64339	13136.09588	12517.12977	12664.10985	12733.38385	17648.72782	9486.7268	14354.11954	14514.40256	11204.63461	9390.16509	11987.09184	18171.96768	9898.85237	12024.45333	13084.22012	12692.21586	12188.97322	14647.53453	12451.62065	15896.02081	11785.56553	12432.39975	12734.89807	13166.60569	13798.90743	16458.44313	14845.70239	15838.44133	14444.04037	10970.4143	12612.85632	13804.38925	9133.27611	13888.67621	12947.38685	12851.38524	13046.39518	12454.88179	17499.31307	8250.55071	14591.18835	13730.67697	8330.16319	8448.35084
150	180	12580.45576	14238.78635	16028.97326	20026.88679	21324.88007	20005.15422	21955.11075	14920.61096	18033.90441	12937.70045	15706.09522	16014.57268	16711.59054	23189.70841	17398.90893	16744.46721	15795.41059	12209.56678	14684.70163	14804.31127	20243.99368	20921.82054	19431.62314	23410.12003	15653.93206	16066.17477	12957.10387	21544.93845	16661.09905	15486.23593	9564.46875	19379.95005	10096.00325	11796.7298	11585.57545	8445.8794	10879.56967	19511.62397	18822.88706	21590.98458	22629.20073	14365.29382	18759.23792	19215.63818	18334.31365	18577.9976	17743.43484	19168.92492	21505.6718	20924.60693	17442.99269	16602.0095	21234.33967	22139.83015	15799.14378	20054.74902	23829.13759	19457.92966	20825.50112	19473.46256	22027.87565	20802.71175	20622.71922	20816.19149	19608.73908	18525.43597	19952.51066	20331.17376	13691.59131	21746.27263	19994.88707	19359.51137	17659.98269	21660.65626	24218.36842	14240.85283	19152.76637	18525.68186	18638.28056	19814.27375	18431.09756	20049.06454	21452.46343	18201.03705	18090.29532	15007.25194	20577.31738	22234.25048	17438.18018	21133.1326	24691.19277	19586.42417	21630.42788	19925.6995	22131.02599	19931.87967	20504.58096	21337.47248	18847.2978	18943.61991	20635.67865	20021.51175	12378.48455	21407.29149	20583.16781	13157.48178	10988.78456	13590.31545	21892.12934	10986.76366	15852.80133	15765.61001	15084.79847	12114.05987	18430.09717	15535.36522	19549.91483	16064.15723	14408.70318	14384.75099	15649.3226	16343.73097	20068.91607	16844.00587	17798.16782	17716.12065	12319.95442	14447.97047	15824.1527	13069.56866	15940.57046	15800.2469	15412.27333	15816.89948	15514.68586	22220.45744	11085.4205	18075.5918	16651.37628	13209.46985	10620.15553	13751.99236	21988.20531	11054.57936	15256.07687	15289.36238	14865.80807	13852.95075	17419.47163	15115.63078	18432.76138	14109.72595	13994.09455	14077.95855	15543.78873	16616.31889	19924.75244	17431.0107	18179.90149	17109.41788	13701.42634	15116.62722	15865.24406	11337.60096	16860.18421	15723.29918	14505.82505	15724.02136	14631.05263	22216.78666	10250.12497	16075.61553	16136.70278	9893.00551	10032.61935
180	240	14985.73658	18579.29509	19336.78155	24276.22076	26921.85349	24257.83498	27778.10076	18866.28587	24272.81376	15735.3934	19271.04492	19695.45639	18756.94015	26066.45855	23915.51096	20861.21025	18456.60215	14454.86105	18606.91895	18566.89568	24523.8384	25556.19537	23800.78547	29076.08611	20950.08926	19440.41245	18133.50255	26443.45105	19698.43063	18630.20484	9705.71191	22972.60678	10913.00023	15662.73794	14407.52611	10543.05876	13093.62476	22878.35669	22226.76255	25540.72368	25995.6472	17512.46165	22771.33732	23311.75033	22576.54481	22446.73841	21025.73347	23302.7672	26028.6513	24691.78959	21118.75971	19800.94342	24787.18155	26016.00199	19884.40001	24330.24684	28224.57945	23596.77316	25588.19229	23940.49693	26267.37229	24405.44273	24770.33754	24920.42699	22789.14558	22007.1383	23469.90593	22804.13195	17349.24889	26159.12799	24827.72875	24513.40965	22102.15525	26078.94404	28519.73821	16809.6971	23266.7013	22712.67568	22457.67052	23484.36245	22287.85137	24294.71565	25648.18782	22412.33305	22722.64264	19464.17796	24877.08063	27090.98827	20871.61167	25721.33893	28661.88749	23878.17366	26597.30744	23700.97027	26907.17658	24480.4445	24756.22063	25477.78899	23145.67771	23004.9987	24160.41168	23244.43014	14685.62218	26350.16054	24489.52742	15978.32209	13596.69178	15845.10497	25304.73906	13041.10376	19178.07663	19077.12313	18618.68893	15149.0851	22015.4888	19150.96712	24386.84676	19934.8311	17514.48359	17518.08509	18646.11763	19554.2891	25545.19868	20102.72227	21258.59514	21191.22315	14697.37248	17734.92942	18952.18588	15162.50118	19157.98276	18974.17845	18369.18963	18248.6592	18421.68192	25593.64393	14607.81339	21586.70638	20499.97156	16932.04044	14040.14885	16772.94208	25940.00666	13298.10483	18431.63371	19013.83325	18458.26603	16190.83171	21103.90285	18714.1789	22193.05853	17059.12165	18036.8871	17949.76853	18264.33826	19837.46286	24615.54574	21502.29728	21230.23265	20926.39653	16399.02677	17945.70773	19279.14403	14331.50129	20169.15676	18786.8908	18046.04943	19176.37449	17542.62412	24564.28099	12417.82699	19639.85304	20125.58957	11988.55308	12108.26452
240	300	16918.02424	20608.13918	22346.37787	27512.51783	29929.52845	27397.23346	31278.26156	21313.2908	24749.68281	18547.93513	22623.71292	21977.00819	22033.08595	28318.90965	29328.13423	23242.72516	20001.44749	16405.97077	19891.53279	21629.3516	27901.60769	30464.12723	27423.73448	32334.90751	23038.1206	22089.32028	18994.08251	31503.35924	22299.27076	21309.84785	10959.33594	21353.73404	12759.756	17514.12691	14485.4813	10759.87146	15319.10935	27256.16957	25156.80965	28815.46954	29169.95471	20417.42574	25821.29145	25938.67496	26054.4604	24854.5678	24081.92769	25667.34089	28637.96658	28255.23433	24055.62043	22680.47482	27433.53175	29125.22738	21099.04181	27344.11915	31402.91243	26850.20294	29310.79544	27128.11392	29795.67343	27468.55377	27707.68964	28352.71042	26258.76274	25512.54728	26943.2697	25152.82399	19233.65102	29956.02209	28476.48689	27253.6966	23994.20153	29749.98767	31669.10708	19753.56945	26239.6533	25860.36795	25834.85208	26182.65976	25271.816	27069.46137	28802.58148	25531.0431	25542.63194	21723.9307	28547.15472	30021.44123	23079.33699	28629.30878	31412.29532	26380.65127	29650.73936	26775.62782	30017.14432	27210.85986	28256.96749	28792.81701	25974.33226	26073.36438	27466.55761	27316.08505	17160.38443	30898.17507	28068.09971	19209.98767	14790.30439	18198.42581	28795.91447	14886.70226	21635.77372	21427.9754	22012.75357	16460.80396	24868.45462	22397.22397	26784.94998	23066.72389	20541.71909	20164.83226	21016.00837	22770.75081	27770.42431	24263.10499	23376.05121	24314.29464	16881.94643	20258.58841	21697.17644	17075.58052	21979.92572	21824.54638	20944.47435	21562.30842	20862.35917	29867.53771	16325.74542	25161.43986	24008.68601	19371.08736	15409.69741	19574.41941	28800.82117	15737.08214	21093.81651	21727.65619	21724.39613	18316.29882	24135.77508	21684.73222	25547.78437	20066.53476	20541.39667	20809.51755	21071.91844	22331.72085	28087.21935	24769.91345	23832.44474	23679.37253	17673.69769	20608.52735	21636.28616	16134.80312	23575.07772	21708.69192	20326.10453	21683.8801	20187.80246	29579.1594	14629.46261	23707.68812	23022.49664	13840.01145	14001.12953
300	360	17423.913	21657.78147	23267.68798	28785.90424	32135.28565	28372.41501	33409.92655	23160.1931	26033.58411	18925.6566	22618.54495	22730.22384	20873.16042	27765.2142	28902.13366	24071.16648	21237.19918	16690.08167	20987.29975	22013.03445	28583.0799	31815.68638	28298.92656	33630.65012	25515.11306	23137.51902	23164.15673	31043.50842	23253.54508	22206.18205	11884.6543	24140.19005	13297.84242	17960.65384	15574.8622	13972.26558	15270.94653	28058.01211	26917.41384	29698.68913	29555.76473	22230.93584	26379.74976	27247.52648	26516.64464	25719.40351	24875.3058	26787.87137	29760.90157	28987.03724	24927.0891	23691.51605	28748.11854	30140.12376	22164.26197	28485.24164	32404.83252	27835.80362	29248.63146	28031.90937	30595.93383	28346.79037	28674.2736	28852.93364	27035.26671	26517.49843	27306.6086	25719.47222	20939.95795	29588.20548	29220.97735	29032.72334	25647.17044	30357.77397	31886.75077	21882.63033	26968.71923	26589.44271	26009.1937	26105.0155	25930.41291	27904.25849	29369.19848	27182.06819	26233.07515	22755.46026	28926.29541	30186.41553	24231.82919	29270.5124	31827.00852	27405.2744	30763.13842	27816.98204	31094.59234	28047.10816	28842.65753	29661.01255	27129.91267	27017.59938	28389.13851	27651.43068	17518.03194	30535.55404	28567.83789	19804.97004	16099.95198	19228.70171	29227.2817	16303.32888	22517.08924	22518.2004	22850.99142	18050.65104	25883.45344	23021.18657	27892.63674	24014.12741	21724.26898	20817.44302	22632.38576	23784.1855	29596.94705	24927.76992	24221.5876	25435.72049	17491.26098	21671.74678	22388.55362	18244.8322	22911.961	22415.55272	21659.13483	22521.70203	21607.00102	29324.6712	18004.90747	25553.60478	25190.19138	20128.52337	16855.90161	20576.86086	29610.34841	17097.65185	21922.87946	22444.05636	22254.87555	19103.99485	25299.27155	22635.08545	26143.20681	21340.80261	21367.87527	21714.59193	21656.36044	23412.72147	28822.45603	25427.13304	24546.19778	24675.27783	18736.48909	21413.34912	23235.15548	17564.02509	24130.44504	22539.83493	21632.08617	22646.97745	20963.51311	31214.45743	15697.82516	23486.4722	23950.99425	14778.31726	14921.82623
360	480	16987.39186	21020.08334	23479.63847	28354.47603	32590.80263	27958.08972	32873.25079	23886.81419	26978.17638	17804.27202	23040.02866	23170.64415	22593.20398	29287.40374	30194.77801	24861.39989	20010.55853	16965.86208	20804.23363	22858.34559	28401.50341	32127.05802	28602.99235	34086.36921	25060.56598	24124.01794	19829.00504	33039.99494	24255.53453	21172.20295	12818.89941	22732.40279	14390.55961	17674.33765	16147.22872	13072.75328	15748.99177	27589.19416	26610.77118	29715.63614	28914.68854	22893.48241	26804.82265	27033.89561	26698.98276	25548.66427	24196.66214	27127.45731	28804.60814	28659.31657	25179.22138	23274.42085	29697.62658	29721.48801	22040.94312	28376.45733	31137.87165	27647.23321	29417.82382	27683.17512	30486.7434	28951.08925	28398.08652	28901.68779	27017.9733	26248.20925	27383.88354	25822.67221	21450.61889	29858.43509	29038.66408	28485.9074	25569.36351	30139.36844	31739.85342	22747.91357	27068.40068	26679.72965	26712.38941	25789.76447	25411.15256	28170.4953	28582.87545	26775.82027	26758.52373	23224.9105	29541.17175	30152.69155	23664.30571	29058.43183	30433.72497	27417.05621	29638.36277	27922.38454	30298.0125	28448.76905	28524.81037	29675.99934	26816.25492	26846.31741	27988.43295	27231.99772	19038.1712	29789.24054	28522.66005	20177.72234	16254.15386	20229.21731	29500.94163	16957.23884	23382.07704	23093.59228	23390.59824	18473.68947	25794.77893	23141.60405	27725.23625	23455.31408	22151.44427	20717.49859	23282.32621	23812.58425	28156.33106	25210.12722	24443.1598	25589.33682	17635.25893	21877.22929	23154.22002	18695.45954	23174.32838	23125.3276	22318.11595	22620.25698	22424.7117	30305.93313	18996.01995	26081.84735	25302.19532	20615.50536	17185.36998	21186.95435	29396.51403	17842.17336	22841.91358	22926.58983	22853.58405	19369.25333	25197.36451	22764.21615	26060.71529	21381.30312	22196.61088	22612.05859	22981.24657	23864.31926	28704.18588	25611.83959	23970.24127	25155.92787	19120.269	22506.44876	23121.30632	17550.96069	24429.10172	23495.24449	21754.21843	23254.35018	21294.24576	30420.38305	16217.88726	23561.15038	24154.53851	15078.4967	15446.49161
